No.,Company Name,Stock Price,Market Cap,Symbol,Industry
2917,CorMedix Inc.,6.71,530.43M,CRMD,Biotechnology
2918,"Eikon Therapeutics, Inc.",9.81,529.59M,EIKN,Biotechnology
2919,Bandwidth Inc.,16.86,529.18M,BAND,Software - Infrastructure
2920,Peoples Financial Services Corp.,52.9,528.95M,PFIS,Banks - Regional
2921,AgomAb Therapeutics NV,10.85,528.79M,AGMB,Biotechnology
2922,"Nextdoor Holdings, Inc.",1.36,527.31M,NXDR,Internet Content & Information
2923,PAR Technology Corporation,12.81,527.17M,PAR,Software - Application
2924,"Universal Logistics Holdings, Inc.",19.99,526.74M,ULH,Trucking
2925,"Energy Recovery, Inc.",9.87,521.42M,ERII,Pollution & Treatment Controls
2926,Blue Moon Metals Inc.,5.76,520.88M,BMM,Other
2927,Kforce Inc.,28.36,518.36M,KFRC,Staffing & Employment Services
2928,"Gray Media, Inc.",12.51,516.30M,GTN.A,Broadcasting
2929,"Oxford Industries, Inc.",34.66,516.00M,OXM,Apparel Manufacturing
2930,COMPASS Pathways plc,5.37,515.98M,CMPS,Medical Care Facilities
2931,Obook Holdings Inc.,5.83,515.24M,OWLS,Software - Infrastructure
2932,Integra Resources Corp.,2.56,514.42M,ITRG,Other Precious Metals & Mining
2933,"Miller Industries, Inc.",45.2,514.00M,MLR,Auto Parts
2934,Tejon Ranch Co.,19.06,513.29M,TRC,Conglomerates
2935,Forward Air Corporation,16.24,512.44M,FWRD,Integrated Freight & Logistics
2936,Consolidated Water Co. Ltd.,32.09,512.29M,CWCO,Utilities - Regulated Water
2937,The Marcus Corporation,16.62,511.50M,MCS,Entertainment
2938,Cooper-Standard Holdings Inc.,28.99,511.30M,CPS,Auto Parts
2939,Bally's Corporation,10.53,511.08M,BALY,Resorts & Casinos
2940,"PagerDuty, Inc.",6.01,510.73M,PD,Software - Application
2941,"Unity Bancorp, Inc.",50.9,509.84M,UNTY,Banks - Regional
2942,"MediaAlpha, Inc.",9.07,509.80M,MAX,Internet Content & Information
2943,Embecta Corp.,8.57,507.51M,EMBC,Medical Instruments & Supplies
2944,"Carter Bankshares, Inc.",22.88,507.12M,CARE,Banks - Regional
2945,The Real Brokerage Inc.,2.4,506.19M,REAX,Real Estate Services
2946,"CEVA, Inc.",18.22,505.68M,CEVA,Semiconductors
2947,"Ambiq Micro, Inc.",23.77,505.41M,AMBQ,Semiconductors
2948,Anteris Technologies Global Corp.,5.19,504.63M,AVR,Medical Instruments & Supplies
2949,Better Home & Finance Holding Company,30.66,504.35M,BETR,Mortgage Finance
2950,Charming Medical Limited,29.11,504.26M,MCTA,Medical Care Facilities
2951,Flushing Financial Corporation,14.88,504.19M,FFIC,Banks - Regional
2952,"W&T Offshore, Inc.",3.380,502.87M,WTI,Oil & Gas Exploration & Production
2953,Compass Diversified,6.68,502.58M,CODI,Conglomerates
2954,"AMC Entertainment Holdings, Inc.",0.948,502.12M,AMC,Entertainment
2955,"Postal Realty Trust, Inc.",18.25,501.28M,PSTL,REIT - Office
2956,"Natural Gas Services Group, Inc.",39.81,501.11M,NGS,Oil & Gas Equipment & Services
2957,Terra Innovatum Global N.V.,4.520,499.46M,NKLR,Utilities - Regulated Electric
2958,New America Acquisition I Corp.,10.02,499.00M,NWAX,Shell Companies
2959,"Ironwood Pharmaceuticals, Inc.",3.060,498.96M,IRWD,Drug Manufacturers - Specialty & Generic
2960,Prothena Corporation plc,9.26,498.49M,PRTA,Biotechnology
2961,"Northrim BanCorp, Inc.",22.52,498.32M,NRIM,Banks - Regional
2962,"Contineum Therapeutics, Inc.",13.34,498.06M,CTNM,Biotechnology
2963,GeoPark Limited,9.62,497.83M,GPRK,Oil & Gas Exploration & Production
2964,"Cannae Holdings, Inc.",10.74,497.53M,CNNE,Restaurants
2965,ZKH Group Limited,3.050,494.58M,ZKH,Internet Retail
2966,"Red Violet, Inc.",35.05,494.55M,RDVT,Software - Application
2967,"i3 Verticals, Inc.",22.21,490.71M,IIIV,Software - Infrastructure
2968,"Aquestive Therapeutics, Inc.",4.020,490.62M,AQST,Drug Manufacturers - Specialty & Generic
2969,Bowman Consulting Group Ltd.,28.63,490.25M,BWMN,Engineering & Construction
2970,Johnson Outdoors Inc.,46.89,490.14M,JOUT,Leisure
2971,Uranium Royalty Corp.,3.340,489.94M,UROY,Uranium
2972,ACNB Corporation,47.25,489.20M,ACNB,Banks - Regional
2973,"Yext, Inc.",3.960,488.45M,YEXT,Software - Infrastructure
2974,"Fulgent Genetics, Inc.",15.59,486.89M,FLGT,Diagnostics & Research
2975,Eagle Point Credit Company Inc.,3.690,486.38M,ECC,Asset Management
2976,"Bridgewater Bancshares, Inc.",17.44,485.25M,BWB,Banks - Regional
2977,Farmers National Banc Corp.,12.88,485.22M,FMNB,Banks - Regional
2978,"Malibu Boats, Inc.",26.08,485.15M,MBUU,Recreational Vehicles
2979,ASP Isotopes Inc.,4.370,484.37M,ASPI,Chemicals
2980,"Gemini Space Station, Inc.",4.110,483.56M,GEMI,Capital Markets
2981,"Build-A-Bear Workshop, Inc.",37.28,482.62M,BBW,Specialty Retail
2982,Mountain Lake Acquisition Corp. II,9.93,482.21M,MLAA,Shell Companies
2983,First Foundation Inc.,5.81,481.80M,FFWM,Banks - Regional
2984,"Larimar Therapeutics, Inc.",4.620,479.94M,LRMR,Biotechnology
2985,Docebo Inc.,16.64,478.98M,DCBO,Software - Application
2986,"Beta Bionics, Inc.",10.76,477.55M,BBNX,Medical Devices
2987,"Rigel Pharmaceuticals, Inc.",25.84,477.35M,RIGL,Biotechnology
2988,Kearny Financial Corp.,7.37,477.13M,KRNY,Banks - Regional
2989,"4D Molecular Therapeutics, Inc.",9.33,476.31M,FDMT,Biotechnology
2990,"International Money Express, Inc.",15.79,475.86M,IMXI,Software - Infrastructure
2991,"Gray Media, Inc.",4.580,475.29M,GTN,Broadcasting
2992,"Microvast Holdings, Inc.",1.430,474.81M,MVST,Auto Parts
2993,"Capital Bancorp, Inc.",28.96,474.07M,CBNK,Banks - Regional
2994,Farmland Partners Inc.,10.88,473.69M,FPI,REIT - Specialty
2995,Rice Acquisition Corporation 3,10.29,473.37M,KRSP,Shell Companies
2996,AMTD Digital Inc.,1.500,473.11M,HKD,Software - Application
2997,Crawford & Company,9.72,473.10M,CRD.B,Insurance Brokers
2998,"Calavo Growers, Inc.",26.40,471.88M,CVGW,Food Distribution
2999,"Upstream Bio, Inc.",8.67,471.82M,UPB,Biotechnology
3000,"Kyverna Therapeutics, Inc.",7.80,471.43M,KYTX,Biotechnology
3001,"Grid Dynamics Holdings, Inc.",5.52,471.15M,GDYN,Information Technology Services
3002,"Home Bancorp, Inc.",60.09,470.89M,HBCP,Banks - Regional
3003,Legacy Housing Corporation,19.75,470.29M,LEGH,Residential Construction
3004,Kamada Ltd.,8.15,470.14M,KMDA,Drug Manufacturers - Specialty & Generic
3005,ADC Therapeutics SA,3.700,470.06M,ADCT,Biotechnology
3006,Agriculture & Natural Solutions Acquisition Corporation,11.28,468.65M,ANSC,Shell Companies
3007,"One Liberty Properties, Inc.",21.44,467.67M,OLP,REIT - Diversified
3008,Acacia Research Corporation,4.840,466.94M,ACTG,Business Equipment & Supplies
3009,Crawford & Company,9.59,466.78M,CRD.A,Insurance Brokers
3010,Cars.com Inc.,7.96,466.75M,CARS,Internet Content & Information
3011,"Diamond Hill Investment Group, Inc.",172.20,465.87M,DHIL,Asset Management
3012,HIVE Digital Technologies Ltd.,1.820,465.54M,HIVE,Capital Markets
3013,Crane Harbor Acquisition Corp. II,9.91,464.78M,CRAN,Shell Companies
3014,"Mativ Holdings, Inc.",8.51,464.66M,MATV,Specialty Chemicals
3015,"Monro, Inc.",15.47,464.40M,MNRO,Auto Parts
3016,"Perspective Therapeutics, Inc.",4.070,463.71M,CATX,Medical Devices
3017,"Civista Bancshares, Inc.",22.33,463.27M,CIVB,Banks - Regional
3018,"Summit Hotel Properties, Inc.",4.250,462.39M,INN,REIT - Hotel & Motel
3019,Orthofix Medical Inc.,11.50,461.66M,OFIX,Medical Devices
3020,"Mistras Group, Inc.",14.59,460.98M,MG,Security & Protection Services
3021,"Consensus Cloud Solutions, Inc.",24.43,460.97M,CCSI,Software - Infrastructure
3022,"Gores Holdings X, Inc.",10.22,460.68M,GTEN,Shell Companies
3023,"Lyell Immunopharma, Inc.",19.67,458.45M,LYEL,Biotechnology
3024,"Unusual Machines, Inc.",11.78,458.12M,UMAC,Computer Hardware
3025,Apex Treasury Corporation,9.96,457.76M,APXT,Shell Companies
3026,"Midland States Bancorp, Inc.",21.76,456.73M,MSBI,Banks - Regional
3027,"Entrada Therapeutics, Inc.",11.93,456.73M,TRDA,Biotechnology
3028,"Stitch Fix, Inc.",3.330,454.62M,SFIX,Apparel Retail
3029,"Crescent Capital BDC, Inc.",12.31,454.52M,CCAP,Asset Management
3030,"Mesa Laboratories, Inc.",82.07,453.42M,MLAB,Scientific & Technical Instruments
3031,Quantum eMotion Corp.,2.050,452.16M,QNC,Semiconductors
3032,Gaotu Techedu Inc.,1.880,451.14M,GOTU,Education & Training Services
3033,Varex Imaging Corporation,10.73,449.59M,VREX,Medical Devices
3034,"AngioDynamics, Inc.",10.90,449.27M,ANGO,Medical Instruments & Supplies
3035,"NeuroPace, Inc.",13.34,449.12M,NPCE,Medical Devices
3036,"Bloomin' Brands, Inc.",5.26,448.30M,BLMN,Restaurants
3037,"Fulcrum Therapeutics, Inc.",6.73,448.22M,FULC,Biotechnology
3038,Richtech Robotics Inc.,2.000,447.19M,RR,Specialty Industrial Machinery
3039,VersaBank,13.79,447.09M,VBNK,Banks - Regional
3040,"loanDepot, Inc.",1.330,445.59M,LDI,Mortgage Finance
3041,Community Healthcare Trust Incorporated,15.52,443.43M,CHCT,REIT - Healthcare Facilities
3042,"Verastem, Inc.",5.04,442.69M,VSTM,Biotechnology
3043,Pangaea Logistics Solutions Ltd.,6.77,442.21M,PANL,Marine Shipping
3044,"First Business Financial Services, Inc.",52.99,442.09M,FBIZ,Banks - Regional
3045,Chiron Real Estate Inc.,32.30,441.83M,XRN,REIT - Healthcare Facilities
3046,"Southern First Bancshares, Inc.",53.55,440.78M,SFST,Banks - Regional
3047,Envela Corporation,16.96,440.34M,ELA,Luxury Goods
3048,"Shoe Carnival, Inc.",16.02,440.06M,SCVL,Apparel Retail
3049,"Nautilus Biotechnology, Inc.",3.480,439.54M,NAUT,Biotechnology
3050,"Assembly Biosciences, Inc.",27.70,439.40M,ASMB,Biotechnology
3051,Sierra Bancorp,33.31,439.24M,BSRR,Banks - Regional
3052,"Camping World Holdings, Inc.",6.91,438.92M,CWH,Auto & Truck Dealerships
3053,The York Water Company,30.23,436.78M,YORW,Utilities - Regulated Water
3054,"Orion Group Holdings, Inc.",10.88,436.11M,ORN,Engineering & Construction
3055,"Titan International, Inc.",6.80,435.36M,TWI,Farm & Heavy Construction Machinery
3056,Idea Acquisition Corp.,9.91,433.56M,IACO,Shell Companies
3057,M3-Brigade Acquisition Vi Corp.,10.05,433.41M,MBVI,Shell Companies
3058,"Idaho Strategic Resources, Inc.",27.38,432.78M,IDR,Gold
3059,"Immix Biopharma, Inc.",8.15,431.66M,IMMX,Biotechnology
3060,Karbon Capital Partners Corp.,10.06,431.47M,KBON,Shell Companies
3061,Burning Rock Biotech Limited,16.36,431.15M,BNR,Diagnostics & Research
3062,"Shattuck Labs, Inc.",6.02,430.82M,STTK,Biotechnology
3063,"Swarmer, Inc",34.87,430.59M,SWMR,Aerospace & Defense
3064,Caledonia Mining Corporation Plc,22.27,429.92M,CMCL,Gold
3065,Brandywine Realty Trust,2.470,429.07M,BDN,REIT - Office
3066,Euroseas Ltd.,60.81,429.07M,ESEA,Marine Shipping
3067,"Gravity Co., Ltd.",61.66,428.47M,GRVY,Electronic Gaming & Multimedia
3068,"Bit Digital, Inc.",1.310,427.82M,BTBT,Capital Markets
3069,"ATN International, Inc.",27.83,427.68M,ATNI,Telecom Services
3070,"Frequency Electronics, Inc.",43.43,427.43M,FEIM,Communication Equipment
3071,enGene Holdings Inc.,6.37,426.72M,ENGN,Biotechnology
3072,D. Boral Acquisition I Corp.,10.00,426.66M,DBCA,Shell Companies
3073,"Groupon, Inc.",10.47,426.58M,GRPN,Internet Content & Information
3074,"Orange County Bancorp, Inc.",31.85,425.79M,OBT,Banks - Regional
3075,KRAKacquisition Corp.,10.03,425.64M,KRAQ,Shell Companies
3076,Absci Corporation,2.780,425.40M,ABSI,Biotechnology
3077,"Aclaris Therapeutics, Inc.",3.520,424.50M,ACRS,Biotechnology
3078,"Blend Labs, Inc.",1.650,424.24M,BLND,Software - Application
3079,Infinite Eagle Acquisition Corp.,10.15,423.50M,IEAG,Shell Companies
3080,"iHeartMedia, Inc.",2.800,421.80M,IHRT,Broadcasting
3081,TRX Gold Corporation,1.320,420.14M,TRX,Gold
3082,Eupraxia Pharmaceuticals Inc.,6.72,419.28M,EPRX,Biotechnology
3083,"Maravai LifeSciences Holdings, Inc.",2.860,418.66M,MRVI,Biotechnology
3084,"Lands' End, Inc.",13.60,418.22M,LE,Apparel Retail
3085,Bumble Inc.,3.220,418.01M,BMBL,Internet Content & Information
3086,Auna S.A.,5.65,417.93M,AUNA,Medical Care Facilities
3087,"Crescent Biopharma, Inc.",15.16,417.76M,CBIO,Biotechnology
3088,D. Boral ARC Acquisition I Corp.,10.14,417.56M,BCAR,Shell Companies
3089,"B&G Foods, Inc.",5.21,416.65M,BGS,Packaged Foods
3090,"Nature's Sunshine Products, Inc.",23.78,416.33M,NATR,Packaged Foods
3091,Algoma Steel Group Inc.,3.960,415.54M,ASTL,Steel
3092,Meshflow Acquisition Corp.,9.89,415.38M,MESH,Shell Companies
3093,"Spire Global, Inc.",12.36,414.11M,SPIR,Specialty Business Services
3094,"El Pollo Loco Holdings, Inc.",13.81,413.70M,LOCO,Restaurants
3095,"WhiteFiber, Inc.",10.78,413.58M,WYFI,Software - Application
3096,"Colony Bankcorp, Inc.",19.52,413.17M,CBAN,Banks - Regional
3097,Emergent BioSolutions Inc.,7.93,413.15M,EBS,Drug Manufacturers - Specialty & Generic
3098,"FRP Holdings, Inc.",21.60,412.90M,FRPH,Real Estate Services
3099,"Nathan's Famous, Inc.",100.69,412.27M,NATH,Restaurants
3100,"Ranger Energy Services, Inc.",17.50,412.13M,RNGR,Oil & Gas Equipment & Services
3101,"The Manitowoc Company, Inc.",11.61,411.85M,MTW,Farm & Heavy Construction Machinery
3102,"Lesaka Technologies, Inc.",4.900,411.21M,LSAK,Software - Infrastructure
3103,Cadiz Inc.,4.940,410.56M,CDZI,Utilities - Regulated Water
3104,"Rocket Pharmaceuticals, Inc.",3.770,409.31M,RCKT,Biotechnology
3105,Gladstone Land Corporation,9.87,409.00M,LAND,REIT - Specialty
3106,Bank of Marin Bancorp,25.33,408.48M,BMRC,Banks - Regional
3107,Vanda Pharmaceuticals Inc.,6.91,408.44M,VNDA,Biotechnology
3108,"Sutro Biopharma, Inc.",24.64,408.22M,STRO,Biotechnology
3109,"Atea Pharmaceuticals, Inc.",5.12,407.92M,AVIR,Biotechnology
3110,"ChoiceOne Financial Services, Inc.",27.22,407.81M,COFS,Banks - Regional
3111,BlueLinx Holdings Inc.,51.82,407.66M,BXC,Industrial Distribution
3112,"Star Group, L.P.",12.37,406.71M,SGU,Oil & Gas Refining & Marketing
3113,SBC Medical Group Holdings Incorporated,3.960,406.20M,SBC,Consulting Services
3114,Columbus McKinnon Corporation,14.07,404.36M,CMCO,Farm & Heavy Construction Machinery
3115,Investors Title Company,214.21,404.34M,ITIC,Insurance - Specialty
3116,ThredUp Inc.,3.180,403.98M,TDUP,Internet Retail
3117,Mesabi Trust,30.57,401.08M,MSB,Steel
3118,REGENXBIO Inc.,7.76,400.52M,RGNX,Biotechnology
3119,"Myriad Genetics, Inc.",4.280,400.21M,MYGN,Diagnostics & Research
3120,"Lexeo Therapeutics, Inc.",5.46,398.51M,LXEO,Biotechnology
3121,Sohu.com Limited,15.28,398.33M,SOHU,Electronic Gaming & Multimedia
3122,"Valhi, Inc.",14.07,398.21M,VHI,Chemicals
3123,"Aura Biosciences, Inc.",6.27,398.17M,AURA,Biotechnology
3124,"Ponce Financial Group, Inc.",16.46,397.62M,PDLB,Banks - Regional
3125,"MGP Ingredients, Inc.",18.60,397.36M,MGPI,Beverages - Wineries & Distilleries
3126,"West Bancorporation, Inc.",23.42,396.75M,WTBA,Banks - Regional
3127,"Community Health Systems, Inc.",2.860,396.47M,CYH,Medical Care Facilities
3128,First Bank,15.77,395.76M,FRBA,Banks - Regional
3129,BrasilAgro - Companhia Brasileira de Propriedades AgrÃ­colas,3.970,395.47M,LND,Farm Products
3130,Citizens & Northern Corporation,22.00,394.03M,CZNC,Banks - Regional
3131,"Gloo Holdings, Inc.",4.940,393.71M,GLOO,Software - Application
3132,New Providence Acquisition Corp. III,10.25,393.51M,NPAC,Shell Companies
3133,PrimeEnergy Resources Corporation,240.42,393.09M,PNRG,Oil & Gas Exploration & Production
3134,"Altimmune, Inc.",3.020,392.81M,ALT,Biotechnology
3135,OrthoPediatrics Corp.,15.52,392.33M,KIDS,Medical Devices
3136,KKR Real Estate Finance Trust Inc.,6.10,392.08M,KREF,REIT - Mortgage
3137,"Global Indemnity Group, LLC",27.29,391.63M,GBLI,Insurance - Property & Casualty
3138,"PowerFleet, Inc.",2.910,390.37M,AIOT,Software - Infrastructure
3139,"Cryoport, Inc.",7.82,389.87M,CYRX,Integrated Freight & Logistics
3140,National Research Corporation,17.13,389.65M,NRC,Health Information Services
3141,"Neumora Therapeutics, Inc.",2.330,389.32M,NMRA,Biotechnology
3142,GP-Act III Acquisition Corp.,10.82,388.84M,GPAT,Shell Companies
3143,"PubMatic, Inc.",8.19,388.25M,PUBM,Software - Application
3144,Centurion Acquisition Corp.,10.79,387.77M,ALF,Shell Companies
3145,M3-Brigade Acquisition V Corp.,10.79,387.77M,MBAV,Shell Companies
3146,Summit Midstream Corporation,31.13,387.26M,SMC,Oil & Gas Midstream
3147,"Invivyd, Inc.",1.370,387.15M,IVVD,Biotechnology
3148,"NACCO Industries, Inc.",51.30,386.52M,NC,Thermal Coal
3149,"Ooma, Inc.",14.00,386.40M,OOMA,Software - Application
3150,Lafayette Digital Acquisition Corp. I,-,385.46M,ZKP,Shell Companies
3151,SuperX AI Technology Limited,8.91,385.31M,SUPX,Software - Infrastructure
3152,M Evo Global Acquisition Corp II,10.03,384.15M,MEVO,Shell Companies
3153,Bleichroeder Acquisition Corp. II,10.01,383.72M,BBCQ,Shell Companies
3154,Perion Network Ltd.,9.82,383.23M,PERI,Internet Content & Information
3155,"Clearfield, Inc.",27.66,383.00M,CLFD,Communication Equipment
3156,Republic Digital Acquisition Company,10.21,382.88M,RDAG,Shell Companies
3157,Berto Acquisition Corp.,10.20,382.69M,TACO,Shell Companies
3158,"Innovative Aerosystems, Inc.",21.50,382.23M,ISSC,Aerospace & Defense
3159,Wen Acquisition Corp,10.18,381.94M,WENN,Shell Companies
3160,"Priority Technology Holdings, Inc.",4.640,381.80M,PRTH,Software - Infrastructure
3161,"Avidia Bancorp, Inc.",18.98,381.05M,AVBC,Banks - Regional
3162,OneSpan Inc.,10.15,380.29M,OSPN,Software - Infrastructure
3163,"SIGA Technologies, Inc.",5.30,379.72M,SIGA,Drug Manufacturers - Specialty & Generic
3164,"Bankwell Financial Group, Inc.",47.49,378.82M,BWFG,Banks - Regional
3165,Westrock Coffee Company,3.910,378.80M,WEST,Packaged Foods
3166,Industrial Logistics Properties Trust,5.68,378.59M,ILPT,REIT - Industrial
3167,"Pacific Biosciences of California, Inc.",1.260,378.47M,PACB,Medical Devices
3168,"Greene County Bancorp, Inc.",22.19,377.83M,GCBC,Banks - Regional
3169,Bank7 Corp.,39.60,376.97M,BSVN,Banks - Regional
3170,"Codere Online Luxembourg, S.A.",8.26,376.29M,CDRO,Gambling
3171,Titan Machinery Inc.,16.10,376.26M,TITN,Industrial Distribution
3172,GigCapital9 Corp.,10.04,376.21M,GIX,Shell Companies
3173,Roma Green Finance Limited,6.30,375.26M,ROMA,Consulting Services
3174,"CapsoVision, Inc.",7.51,374.28M,CV,Medical Devices
3175,Ribbon Communications Inc.,2.130,374.04M,RBBN,Software - Application
3176,Gladstone Capital Corporation,16.55,373.92M,GLAD,Asset Management
3177,Portillo's Inc.,5.18,373.30M,PTLO,Restaurants
3178,GBank Financial Holdings Inc.,25.90,372.57M,GBFH,Banks - Regional
3179,"Lineage Cell Therapeutics, Inc.",1.490,371.14M,LCTX,Biotechnology
3180,SharonAI Holdings Inc.,22.98,370.79M,SHAZ,Information Technology Services
3181,Boston Omaha Corporation,11.78,370.52M,BOC,Conglomerates
3182,PureTech Health plc,15.38,369.51M,PRTC,Biotechnology
3183,Nano Dimension Ltd.,1.690,369.03M,NNDM,Computer Hardware
3184,"Polaryx Therapeutics, Inc.",7.79,368.80M,PLYX,Biotechnology
3185,Investar Holding Corporation,26.82,368.78M,ISTR,Banks - Regional
3186,North American Construction Group Ltd.,13.32,368.62M,NOA,Oil & Gas Equipment & Services
3187,High Templar Tech Limited,2.180,367.74M,HTT,Credit Services
3188,"X4 Pharmaceuticals, Inc.",4.040,367.32M,XFOR,Biotechnology
3189,Electrovaya Inc.,7.40,365.87M,ELVA,Electrical Equipment & Parts
3190,Nexxen International Ltd.,6.50,365.85M,NEXN,Advertising Agencies
3191,Lightbridge Corporation,10.70,365.43M,LTBR,Electrical Equipment & Parts
3192,"American Integrity Insurance Group, Inc.",18.64,364.95M,AII,Insurance - Property & Casualty
3193,Genie Energy Ltd.,13.77,364.84M,GNE,Utilities - Regulated Electric
3194,Chatham Lodging Trust,7.72,364.80M,CLDT,REIT - Hotel & Motel
3195,Costamare Bulkers Holdings Limited,15.04,364.58M,CMDB,Marine Shipping
3196,HCM IV Acquisition Corp.,10.04,363.99M,HACQ,Shell Companies
3197,GigCapital8 Corp.,-,363.63M,GIW,Shell Companies
3198,"Blue Ridge Bankshares, Inc.",3.980,363.54M,BRBS,Banks - Regional
3199,MOZAYYX Acquisition Corp.,9.95,363.39M,MZYX,Shell Companies
3200,Monopar Therapeutics Inc.,54.30,363.38M,MNPR,Biotechnology
3201,"Century Therapeutics, Inc.",2.020,363.04M,IPSC,Biotechnology
3202,Zumiez Inc.,21.34,362.13M,ZUMZ,Apparel Retail
3203,SES AI Corporation,0.987,361.97M,SES,Auto Parts
3204,Oneim Acquisition Corp.,10.11,361.74M,OIM,Shell Companies
3205,FutureCrest Acquisition Corp.,10.06,361.53M,FCRS,Shell Companies
3206,"Cantor Equity Partners III, Inc.",10.29,360.97M,CAEP,Shell Companies
3207,KNOT Offshore Partners LP,10.32,360.56M,KNOP,Oil & Gas Midstream
3208,"Kelly Services, Inc.",12.70,360.39M,KELYB,Staffing & Employment Services
3209,"Strata Critical Medical, Inc.",4.140,360.14M,SRTA,Medical Care Facilities
3210,"Mayville Engineering Company, Inc.",17.70,359.64M,MEC,Metal Fabrication
3211,XOMA Royalty Corporation,30.17,359.19M,XOMA,Biotechnology
3212,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",9.95,359.19M,ALOV,Shell Companies
3213,"Akebia Therapeutics, Inc.",1.340,358.96M,AKBA,Drug Manufacturers - Specialty & Generic
3214,Siddhi Acquisition Corp.,-,358.83M,SDHI,Shell Companies
3215,"Falcon's Beyond Global, Inc.",9.63,358.70M,FBYD,Conglomerates
3216,"Forward Industries, Inc.",4.310,358.33M,FWDI,Footwear & Accessories
3217,"Viemed Healthcare, Inc.",9.26,357.27M,VMD,Medical Devices
3218,Cohen Circle Acquisition Corp. II,10.29,356.99M,CCII,Shell Companies
3219,Titan Acquisition Corp,-,356.73M,TACH,Shell Companies
3220,RBB Bancorp,20.88,356.35M,RBB,Banks - Regional
