No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
305,Woodside Energy Group Ltd,24.78,46.98B,WDS,Oil & Gas Exploration & Production,Energy
306,Public Storage,266.01,46.69B,PSA,REIT - Industrial,Real Estate
307,"ASE Technology Holding Co., Ltd.",21.50,46.67B,ASX,Semiconductors,Technology
308,"Nasdaq, Inc.",81.48,46.32B,NDAQ,Financial Data & Stock Exchanges,Financials
309,"Teradyne, Inc.",295.61,46.28B,TER,Semiconductor Equipment & Materials,Technology
310,"United Rentals, Inc.",734.30,46.26B,URI,Rental & Leasing Services,Industrials
311,Edwards Lifesciences Corporation,79.34,46.08B,EW,Medical Devices,Healthcare
312,Sea Limited,78.16,46.04B,SE,Internet Retail,Consumer Discretionary
313,Coherent Corp.,243.48,45.65B,COHR,Scientific & Technical Instruments,Technology
314,Cameco Corporation,103.92,45.60B,CCJ,Uranium,Energy
315,Carrier Global Corporation,54.25,45.34B,CARR,Building Products & Equipment,Industrials
316,Ford Motor Company,11.37,45.30B,F,Auto Manufacturers,Consumer Discretionary
317,Ferrovial SE,62.56,45.16B,FER,Engineering & Construction,Industrials
318,AngloGold Ashanti plc,89.17,45.03B,AU,Gold,Materials
319,The Kroger Co.,73.22,44.96B,KR,Grocery Stores,Consumer Staples
320,Nokia Oyj,7.98,44.55B,NOK,Communication Equipment,Technology
321,"IDEXX Laboratories, Inc.",558.32,44.46B,IDXX,Diagnostics & Research,Healthcare
322,Garmin Ltd.,230.16,44.30B,GRMN,Scientific & Technical Instruments,Technology
323,Banco Macro S.A.,69.26,44.26B,BMA,Banks - Regional,Financials
324,"MetLife, Inc.",67.70,44.14B,MET,Insurance - Life,Financials
325,"Becton, Dickinson and Company",154.51,44.00B,BDX,Medical Instruments & Supplies,Healthcare
326,Ferguson Enterprises Inc.,224.76,43.95B,FERG,Industrial Distribution,Industrials
327,Franco-Nevada Corporation,233.95,43.91B,FNV,Gold,Materials
328,Ambev S.A.,2.810,43.88B,ABEV,Beverages - Brewers,Consumer Staples
